CBTS LINE_ID,route_id,Actual Route,fare_type,DIRECTION,SERVICE_TYPE
T406102,T4061,T406B,Zonal Fare,2,Normal Zonal
U822002,U8220,822,Zonal Fare,2,Normal Zonal
U201002,U2010,201,Zonal Fare,2,Normal Zonal
U421002,U4210,421,Zonal Fare,2,Normal Zonal
U200002,U2000,200,Zonal Fare,2,Normal Zonal
U253002,U2530,253,Zonal Fare,2,Normal Zonal
U802002,U8020,802,Zonal Fare,2,Normal Zonal
T406002,T4060,T406,Zonal Fare,2,Normal Zonal
U650002,U6500,650,Zonal Fare,2,Normal Zonal
T506002,T5060,T506,Zonal Fare,2,Normal Zonal
T504002,T5040,T504,Zonal Fare,2,Normal Zonal
T505002,T5050,T505,Zonal Fare,2,Normal Zonal
T507002,T5070,T507,Zonal Fare,2,Normal Zonal
T120002,T1200,T120,Flat Fare,2,Normal Flat
T180002,T1800,T180,Flat Fare,2,Normal Flat
T200002,T2000,T200,Flat Fare,2,Normal Flat
T201001,T2010,T201,Flat Fare,1,Normal Flat
T201002,T2010,T201,Flat Fare,2,Normal Flat
T202002,T2020,T202,Flat Fare,2,Normal Flat
T203002,T2030,T203,Flat Fare,2,Normal Flat
T204002,T2040,T204,Flat Fare,2,Normal Flat
T221001,T2210,T221,Flat Fare,1,Normal Flat
T221002,T2210,T221,Flat Fare,2,Normal Flat
T222002,T2220,T222,Flat Fare,2,Normal Flat
T223002,T2230,T223,Flat Fare,2,Normal Flat
T224002,T2240,T224,Flat Fare,2,Normal Flat
U171002,U1710,171,Zonal Fare,2,Normal Zonal
U450002,U4500,450,Zonal Fare,2,Normal Zonal
U750002,U7500,750,Zonal Fare,2,Normal Zonal
U800002,U8000,800,Zonal Fare,2,Normal Zonal
U170002,U1700,170,Zonal Fare,2,Normal Zonal
U190002,U1900,190,Zonal Fare,2,Normal Zonal
U191002,U1910,191,Zonal Fare,2,Normal Zonal
U301002,U3010,301,Zonal Fare,2,Normal Zonal
U540002,U5400,540,Zonal Fare,2,Normal Zonal
U851002,U8510,851,Zonal Fare,2,Normal Zonal
U151002,U1510,151,Zonal Fare,2,Normal Zonal
U640002,U6400,640,Zonal Fare,2,Normal Zonal
U651002,U6510,651,Zonal Fare,2,Normal Zonal
U708002,U7080,708,Zonal Fare,2,Normal Zonal
T756002,T7560,T756,Zonal Fare,2,Normal Zonal
U173002,U1730,173,Zonal Fare,2,Normal Zonal
U250002,U2500,250,Zonal Fare,2,Normal Zonal
U402002,U4020,402,Zonal Fare,2,Normal Zonal
U600002,U6000,600,Zonal Fare,2,Normal Zonal
U852002,U8520,852,Zonal Fare,2,Normal Zonal
U602002,U6020,602,Zonal Fare,2,Normal Zonal
U751002,U7510,751,Zonal Fare,2,Normal Zonal
U770002,U7700,770,Zonal Fare,2,Normal Zonal
U782002,U7820,782,Zonal Fare,2,Normal Zonal
U801002,U8010,801,Zonal Fare,2,Normal Zonal
U180002,U1800,180,Zonal Fare,2,Normal Zonal
U220002,U2200,220,Zonal Fare,2,Normal Zonal
U303002,U3030,303,Zonal Fare,2,Normal Zonal
U590002,U5900,590,Zonal Fare,2,Normal Zonal
U753002,U7530,753,Zonal Fare,2,Normal Zonal
U772002,U7720,772,Zonal Fare,2,Normal Zonal
U172002,U1720,172,Zonal Fare,2,Normal Zonal
U251002,U2510,251,Zonal Fare,2,Normal Zonal
U581002,U5810,581,Zonal Fare,2,Normal Zonal
U821002,U8210,821,Zonal Fare,2,Normal Zonal
U754002,U7540,754,Zonal Fare,2,Normal Zonal
U780002,U7800,780,Zonal Fare,2,Normal Zonal
T450002,T4500,T450,Zonal Fare,2,Normal Zonal
U506002,U5060,506,Zonal Fare,2,Normal Zonal
U641002,U6410,641,Zonal Fare,2,Normal Zonal
U652002,U6520,652,Zonal Fare,2,Normal Zonal
U781002,U7810,781,Zonal Fare,2,Normal Zonal
U202002,U2020,202,Zonal Fare,2,Normal Zonal
U600102,U6001,600-T,Zonal Fare,2,Normal Zonal
U173001,U1730,173,Zonal Fare,1,Normal Zonal
U190001,U1900,190,Zonal Fare,1,Normal Zonal
K600002,K6000,600,Zonal Fare,2,Normal Zonal
U600001,U6000,600,Zonal Fare,1,Normal Zonal
U753001,U7530,753,Zonal Fare,1,Normal Zonal
U770001,U7700,770,Zonal Fare,1,Normal Zonal
U781001,U7810,781,Zonal Fare,1,Normal Zonal
U220001,U2200,220,Zonal Fare,1,Normal Zonal
U506001,U5060,506,Zonal Fare,1,Normal Zonal
U640001,U6400,640,Zonal Fare,1,Normal Zonal
U708001,U7080,708,Zonal Fare,1,Normal Zonal
U772001,U7720,772,Zonal Fare,1,Normal Zonal
U780001,U7800,780,Zonal Fare,1,Normal Zonal
U171001,U1710,171,Zonal Fare,1,Normal Zonal
U590001,U5900,590,Zonal Fare,1,Normal Zonal
U600101,U6001,600-T,Zonal Fare,1,Normal Zonal
U750001,U7500,750,Zonal Fare,1,Normal Zonal
U852001,U8520,852,Zonal Fare,1,Normal Zonal
U800001,U8000,800,Zonal Fare,1,Normal Zonal
U801001,U8010,801,Zonal Fare,1,Normal Zonal
T756001,T7560,T756,Zonal Fare,1,Normal Zonal
U751001,U7510,751,Zonal Fare,1,Normal Zonal
U151001,U1510,151,Zonal Fare,1,Normal Zonal
U202001,U2020,202,Zonal Fare,1,Normal Zonal
U782001,U7820,782,Zonal Fare,1,Normal Zonal
