No,bus_no,depot,bus_model
854,PKY1280,Tanjung Bungah,SCANIA K250
855,W479T,Batu Caves,SCANIA K250 B
856,WVG8659,Batu Caves,SCANIA K270
857,VH4921,MRT Sungai Buloh,VOLVO MRT
858,W5174V,Shah Alam,SCANIA K250 B
859,WVC6421,Batu Caves,KING LONG IC 100
860,WVC2524,Batu Caves,MAN
861,WVA3151,Batu Caves,SCANIA K270
862,WPW5363,Cheras Selatan,VOLVO SD B7RLE
863,VH3750,MRT Kajang,SCANIA K250 MRT
864,WVJ8371,MRT Serdang,SCANIA K270
865,VAH9042,MRT Sungai Buloh,VOLVO MRT
866,VH4924,MRT Sungai Buloh,VOLVO MRT
867,WB6746M,Shah Alam,SCANIA K250 A
868,WC809F,Batu Caves,ALEXANDER DENNIS E200
869,VH3743,MRT Kajang,SCANIA K250 MRT
870,VH2485,MRT Serdang,SCANIA K250 MRT
871,PLX8951,Nibong Tebal,SCANIA K250 A
872,WC967F,Putrajaya,ALEXANDER DENNIS E200
873,PJM119,Sungai Nibong,SCANIA K270 10
874,WVC6428,Batu Caves,KING LONG IC 100
875,WVJ8295,Batu Caves,MAN
876,WYG6428,Cheras Selatan,HYUNDAI STAREX
877,WQR7493,Cheras Selatan,VOLVO SD B7RLE
878,PLN4487,Mak Mandin,SCANIA K250 B
879,W4860W,Maluri,SCANIA K250 B
880,CDH5963,MRT Serdang,SCANIA K250
881,WB3240T,Shah Alam,SCANIA K250 A
882,PKY1275,Sungai Nibong,SCANIA K250
883,WUX5708,Batu Caves,KING LONG IC 100
884,WVB4105,Batu Caves,KING LONG IC 100
885,WVB6985,Batu Caves,SCANIA K270
886,WVJ1058,Cheras Selatan,MAN
887,WB3225B,Cheras Selatan,SCANIA K250 A
888,WPX2191,Cheras Selatan,VOLVO SD B7RLE
889,WPX4727,Cheras Selatan,VOLVO SD B7RLE
890,PLP9027,Mak Mandin,SCANIA K250 B
891,PJG4327,Mak Mandin,SCANIA K270 10
892,PJM2655,Mak Mandin,SCANIA K270 10
893,WVP2456,Maluri,MAN
894,W4087R,Maluri,SCANIA K250 B
895,WB4377E,Shah Alam,SCANIA K250 A
896,PLT9160,Sungai Nibong,SCANIA K250 A
897,WVA5843,Batu Caves,KING LONG IC 100
898,WPX6932,Cheras Selatan,VOLVO SD B7RLE
899,VAG4913,MRT Sungai Buloh,VOLVO MRT
900,PJL9460,Sungai Nibong,SCANIA K270 10
901,WUW3961,Batu Caves,KING LONG IC 100
902,WB7358P,Batu Caves,SCANIA K250 A
903,WB846U,Cheras Selatan,SCANIA K250 A
904,VHB446,Cheras Selatan,VOLVO DD B8L
905,VAG4873,MRT Sungai Buloh,VOLVO MRT
906,VG8845,MRT Sungai Buloh,VOLVO MRT
907,WB1019K,Putrajaya,ALEXANDER DENNIS E200
908,WUY4052,Shah Alam,SCANIA K270
909,PLQ4432,Sungai Nibong,SCANIA K250 B
