No,bus_no,depot,bus_model
1,WB9586H,Maluri,ALEXANDER DENNIS E500
2,WC724F,Shah Alam,ALEXANDER DENNIS E500
3,WB5044K,Shah Alam,ALEXANDER DENNIS E500
4,WVN7826,Cheras Selatan,MAN
5,WB5625U,Maluri,ALEXANDER DENNIS E500
6,WNX9074,Academy,MERCEDES MBM 120
7,WNX4097,Academy,MERCEDES MBM 120
8,WC5061B,Maluri,ALEXANDER DENNIS E500
9,WVE4799,Cheras Selatan,MAN
10,WQE2143,Academy,MERCEDES SKS 150
11,WVP2482,Cheras Selatan,MAN
12,WB7625P,Maluri,ALEXANDER DENNIS E500
13,WVN5394,Cheras Selatan,MAN
14,WVJ8172,Batu Caves,MAN
15,WC5319A,Shah Alam,ALEXANDER DENNIS E500
16,WVG2342,Cheras Selatan,MAN
17,WVP2558,Cheras Selatan,MAN
18,WC5692K,Cheras Selatan,ALEXANDER DENNIS E200
19,WVN5531,Batu Caves,MAN
20,WVG2493,Cheras Selatan,MAN
21,WVB3741,Cheras Selatan,MAN
22,WVP2517,Maluri,MAN
23,WVP2513,Cheras Selatan,MAN
24,WVL602,Cheras Selatan,MAN
25,WVE5041,Cheras Selatan,MAN
26,WVL641,Cheras Selatan,MAN
27,WB3762P,Shah Alam,ALEXANDER DENNIS E500
28,WB1098K,Shah Alam,ALEXANDER DENNIS E500
29,CDD1433,Kuantan,SCANIA K250
30,WVC3869,Batu Caves,KING LONG IC 100
31,CDH7750,Kuantan,SCANIA K250
32,CDH2347,Kuantan,SCANIA K250
33,CDH7529,Kuantan,SCANIA K250
34,CDH8317,Kuantan,SCANIA K250
35,CDD2176,Kuantan,SCANIA K250
36,CDH7753,Kuantan,SCANIA K250
37,WC4863G,Maluri,ALEXANDER DENNIS E500
38,CDH7520,Kuantan,SCANIA K250
39,CDH2331,Kuantan,SCANIA K250
40,CDD1429,Kuantan,SCANIA K250
41,WPV6957,Cheras Selatan,VOLVO SD B7RLE
42,WQA5704,Shah Alam,MERCEDES SKS 150
43,CDH8308,Kuantan,SCANIA K250
44,CDD1442,Kuantan,SCANIA K250
45,CDH8905,Kuantan,SCANIA K250
46,CDH8903,Kuantan,SCANIA K250
47,WQA4704,Batu Caves,MERCEDES SKS 150
48,CDH8301,Kuantan,SCANIA K250
49,CDH5966,Kuantan,SCANIA K250
50,CDD1408,Kuantan,SCANIA K250
51,CDH2338,Kuantan,SCANIA K250
52,CDH8312,Kuantan,SCANIA K250
53,CDH8330,Kuantan,SCANIA K250
54,WQB7774,Shah Alam,MERCEDES SKS 150
55,CDH7746,Kuantan,SCANIA K250
56,CDH3787,Kuantan,SCANIA K250
57,CDH7754,Kuantan,SCANIA K250
58,CDH5971,Kuantan,SCANIA K250
59,CDH2343,Kuantan,SCANIA K250
60,CDH2344,Kuantan,SCANIA K250
61,CDH8894,Kuantan,SCANIA K250
62,CDH8890,Kuantan,SCANIA K250
63,CDH2349,Kuantan,SCANIA K250
64,CDH5969,Kuantan,SCANIA K250
65,CDD1436,Kuantan,SCANIA K250
66,WVL734,Maluri,MAN
67,CDH3781,Kuantan,SCANIA K250
68,CDD1447,Kuantan,SCANIA K250
69,WPX7361,Cheras Selatan,VOLVO SD B7RLE
70,CDH5962,Kuantan,SCANIA K250
71,CDH2341,Kuantan,SCANIA K250
72,CDH5958,Kuantan,SCANIA K250
73,VG8761,MRT Sungai Buloh,VOLVO MRT
74,CDH2337,Kuantan,SCANIA K250
75,WPV4571,Cheras Selatan,VOLVO SD B7RLE
76,CDD1439,Kuantan,SCANIA K250
77,CDH8307,Kuantan,SCANIA K250
78,WUY4078,Shah Alam,SCANIA K270
79,WB5886H,Shah Alam,ALEXANDER DENNIS E500
80,WVJ8257,Maluri,MAN
81,WC4490H,Shah Alam,ALEXANDER DENNIS E500
82,WB5029K,Putrajaya,ALEXANDER DENNIS E200
83,WB3635M,Maluri,ALEXANDER DENNIS E500
84,WC8754B,Maluri,ALEXANDER DENNIS E500
85,WVP2572,Maluri,MAN
86,WB5742S,Maluri,ALEXANDER DENNIS E500
87,WVN7754,Maluri,MAN
88,WB490G,Maluri,ALEXANDER DENNIS E500
89,WUW1356,Batu Caves,SCANIA K270
90,WVE4918,Maluri,MAN
91,WQA5709,Shah Alam,MERCEDES SKS 150
92,PJH4804,Batu Caves,SCANIA K270 12
93,WQB3483,Shah Alam,MERCEDES SKS 150
94,WB1004K,Putrajaya,ALEXANDER DENNIS E200
95,WB8297Q,Putrajaya,ALEXANDER DENNIS E200
96,PLA2891,Mak Mandin,SCANIA K250
97,PJJ7237,Sungai Nibong,SCANIA K270 10
98,WVN5408,Batu Caves,MAN
99,WVL649,Maluri,MAN
100,PJL9144,Mak Mandin,SCANIA K270 10
101,PJH4752,Batu Caves,SCANIA K270 12
102,BNG4103,BRT Sunway,BUILD YOUR DREAM
103,WVE5137,Maluri,MAN
104,VGG4832,Cheras Selatan,VOLVO DD B8L
105,WUY1791,Batu Caves,KING LONG IC 100
106,WVA2948,Shah Alam,SCANIA K270
107,VAH9049,MRT Sungai Buloh,VOLVO MRT
108,WC9270G,Shah Alam,ALEXANDER DENNIS E200
109,WVN7765,Batu Caves,MAN
110,W5902R,Maluri,SCANIA K250 B
111,WC348J,Putrajaya,ALEXANDER DENNIS E200
112,VAJ1481,MRT Kajang,SCANIA K250 MRT
113,VAF5765,MRT Sungai Buloh,VOLVO MRT
114,WB856L,Cheras Selatan,SCANIA K250 A
115,WB1872U,Cheras Selatan,SCANIA K250 A
116,WA1675G,Shah Alam,SCANIA K250 B
117,WC7343F,Maluri,ALEXANDER DENNIS E500
118,WVA2965,Shah Alam,SCANIA K270
119,WWF2947,Maluri,HINO SKS
120,PLV2921,Sungai Nibong,SCANIA K250 A
121,WC8427C,Putrajaya,ALEXANDER DENNIS E200
122,WB5069K,Maluri,ALEXANDER DENNIS E500
123,WVY540,Maluri,HINO SKS
124,WSW547,Shah Alam,TOYOTA HIACE
125,PJJ4934,Mak Mandin,SCANIA K270 12
126,PJH4780,Batu Caves,SCANIA K270 12
127,WPX2249,Cheras Selatan,VOLVO SD B7RLE
128,CDK2931,Kuantan,SCANIA K250
129,WVJ953,Batu Caves,SCANIA K270
130,WC5210A,Maluri,ALEXANDER DENNIS E500
131,WC8757B,Putrajaya,ALEXANDER DENNIS E200
132,WVC1680,Shah Alam,SCANIA K270
133,PJH137,Sungai Nibong,SCANIA K270 10
134,WVE3035,Batu Caves,KING LONG IC 100
135,PLV1696,Sungai Nibong,SCANIA K250 A
136,WB2521U,Cheras Selatan,SCANIA K250 A
137,WC1484A,Cheras Selatan,ALEXANDER DENNIS E200
138,WVB6824,Shah Alam,SCANIA K270
139,WB4132V,Sungai Nibong,ALEXANDER DENNIS E500
140,WVJ8202,Maluri,MAN
141,WB3960N,Shah Alam,SCANIA K250 A
142,WVC6407,Batu Caves,KING LONG IC 100
143,WVB2485,Batu Caves,MAN
144,WVE3702,MRT Serdang,SCANIA K270
145,PJG965,Weld Quay,SCANIA K270 10
146,WVA4806,Shah Alam,SCANIA K270
147,WC4981B,Shah Alam,ALEXANDER DENNIS E500
148,PJH2931,Mak Mandin,SCANIA K270 10
149,WPV4613,Cheras Selatan,VOLVO SD B7RLE
150,WVG2429,Maluri,MAN
151,WVW4762,Maluri,HINO SKS
152,PKX3416,Sungai Nibong,SCANIA K250
153,WWA4049,Maluri,HINO SKS
154,WVC6453,Maluri,SCANIA K270
155,PLQ4355,Balik Pulau,SCANIA K250 B
156,WVA5842,Batu Caves,KING LONG IC 100
157,WA3498G,Batu Caves,SCANIA K250 B
158,VH4283,MRT Sungai Buloh,VOLVO MRT
159,WB7005V,Shah Alam,ALEXANDER DENNIS E200
160,WVE5806,Shah Alam,SCANIA K270
161,WPW8159,Cheras Selatan,VOLVO SD B7RLE
162,WPX2492,Cheras Selatan,VOLVO SD B7RLE
163,WPX653,Cheras Selatan,VOLVO SD B7RLE
164,WVC3544,Maluri,MAN
165,WPW5381,Cheras Selatan,VOLVO SD B7RLE
166,WPX5785,Cheras Selatan,VOLVO SD B7RLE
167,PJK2656,Mak Mandin,SCANIA K270 10
168,PJJ4735,Tanjung Bungah,SCANIA K270 10
169,WB3660K,Cheras Selatan,SCANIA K250 A
170,PJL9087,Sungai Nibong,SCANIA K270 10
171,PLV1675,Sungai Nibong,SCANIA K250 A
172,WB2467C,Cheras Selatan,SCANIA K250 A
173,WPX4363,Maluri,VOLVO SD B7RLE
174,PJH6052,Balik Pulau,SCANIA K270 10
175,PJJ6157,Sungai Nibong,SCANIA K270 10
176,VH3982,MRT Serdang,SCANIA K250 MRT
177,PJG4286,Tanjung Bungah,SCANIA K270 10
178,WVB5670,Batu Caves,KING LONG IC 100
179,BNG4105,BRT Sunway,BUILD YOUR DREAM
180,WVE4812,Batu Caves,MAN
181,WVH1758,Shah Alam,SCANIA K270
182,WVA2942,Cheras Selatan,SCANIA K270
183,VH2487,MRT Serdang,SCANIA K250 MRT
184,PLW2733,Sungai Nibong,SCANIA K250 A
185,WVC3485,Batu Caves,MAN
186,VH4053,MRT Kajang,SCANIA K250 MRT
187,VH4096,MRT Kajang,SCANIA K250 MRT
188,VH4069,MRT Serdang,SCANIA K250 MRT
189,PJH165,Sungai Nibong,SCANIA K270 10
190,WVL614,Maluri,MAN
191,WVE4170,MRT Serdang,SCANIA K270
192,WVF1527,Shah Alam,SCANIA K270
193,WVC6439,MRT Serdang,SCANIA K270
194,WC5697K,Cheras Selatan,ALEXANDER DENNIS E200
195,VAF5752,MRT Sungai Buloh,VOLVO MRT
196,PKX3503,Balik Pulau,SCANIA K250
197,PJF1370,Cheras Selatan,SCANIA K270 12
198,CDH7748,MRT Serdang,SCANIA K250
199,PLA7458,Tanjung Bungah,SCANIA K250
200,WPV4561,Cheras Selatan,VOLVO SD B7RLE
201,PLQ2124,Sungai Nibong,SCANIA K250 B
202,WVC3984,Batu Caves,KING LONG IC 100
203,VX3035,MRT Kajang,SCANIA K250 MRT
204,VAG4725,MRT Serdang,SCANIA K250 MRT
205,WUX5843,Batu Caves,KING LONG IC 100
206,WVB2451,Cheras Selatan,MAN
207,WVH7691,Cheras Selatan,MAN
208,PJF1364,Batu Caves,SCANIA K270 12
209,WVL713,Cheras Selatan,MAN
210,WVP2435,Cheras Selatan,MAN
211,WB3649K,Cheras Selatan,SCANIA K250 A
212,W3447S,Cheras Selatan,SCANIA K250 B
213,WPX5814,Cheras Selatan,VOLVO SD B7RLE
214,PLV2867,Mak Mandin,SCANIA K250 A
215,WVH9724,Shah Alam,SCANIA K270
216,PJH6068,Sungai Nibong,SCANIA K270 12
217,WC1083A,Batu Caves,ALEXANDER DENNIS E200
218,WUW8434,Batu Caves,KING LONG IC 100
219,WUY9518,Batu Caves,KING LONG IC 100
220,WUY9570,Batu Caves,KING LONG IC 100
221,WVA4143,Batu Caves,KING LONG IC 100
222,WVA5879,Batu Caves,KING LONG IC 100
223,WVN7853,Cheras Selatan,MAN
224,VGJ8305,Cheras Selatan,VOLVO DD B8L
225,WPX5796,Cheras Selatan,VOLVO SD B7RLE
226,WPX8781,Cheras Selatan,VOLVO SD B7RLE
227,PJK1482,Mak Mandin,SCANIA K270 10
228,W6071T,Maluri,SCANIA K250 B
229,PLT2686,Sungai Nibong,SCANIA K250 A
230,PLV2785,Sungai Nibong,SCANIA K250 A
231,WVB6074,Batu Caves,KING LONG IC 100
232,WVG2397,Batu Caves,MAN
233,WB9371D,Cheras Selatan,SCANIA K250 A
234,VGJ8942,Cheras Selatan,VOLVO DD B8L
235,VGJ8962,Cheras Selatan,VOLVO DD B8L
236,VGK1677,Cheras Selatan,VOLVO DD B8L
237,WPX8207,Cheras Selatan,VOLVO SD B7RLE
238,WVJ8156,Maluri,MAN
239,WVC6471,MRT Serdang,SCANIA K270
240,VAF694,MRT Sungai Buloh,VOLVO MRT
241,VAJ6284,MRT Sungai Buloh,VOLVO MRT
242,VH4930,MRT Sungai Buloh,VOLVO MRT
243,WC1026A,Putrajaya,ALEXANDER DENNIS E200
244,WB4066C,Shah Alam,SCANIA K250 A
245,WB8474H,Shah Alam,SCANIA K250 A
246,WB854L,Shah Alam,SCANIA K250 A
247,W7083Q,Shah Alam,SCANIA K250 B
248,WVD2353,Shah Alam,SCANIA K270
249,WB7691P,Sungai Nibong,ALEXANDER DENNIS E500
250,WVB4208,Batu Caves,KING LONG IC 100
251,PJH4890,Batu Caves,SCANIA K270 12
252,VGH4653,Cheras Selatan,VOLVO DD B8L
253,VGH4674,Cheras Selatan,VOLVO DD B8L
254,VGJ941,Cheras Selatan,VOLVO DD B8L
255,VGK1736,Cheras Selatan,VOLVO DD B8L
256,VH4062,MRT Kajang,SCANIA K250 MRT
257,WVC6461,Shah Alam,SCANIA K270
258,PLV1662,Sungai Nibong,SCANIA K250 A
259,PLV2907,Sungai Nibong,SCANIA K250 A
260,WVC4047,Batu Caves,KING LONG IC 100
261,VAE7225,MRT Kajang,SCANIA K250 MRT
262,W6961T,Shah Alam,SCANIA K250 B
263,WVA4813,Batu Caves,SCANIA K270
264,PJK2731,Batu Caves,SCANIA K270 10
265,WC9071B,Cheras Selatan,ALEXANDER DENNIS E200
266,WVK361,Maluri,MAN
267,VAF5750,MRT Sungai Buloh,VOLVO MRT
268,VAJ2870,MRT Sungai Buloh,VOLVO MRT
269,PLX8644,Nibong Tebal,SCANIA K250 A
270,WVG3324,Shah Alam,SCANIA K270
271,WB6374S,Batu Caves,SCANIA K250 A
272,WVL684,Cheras Selatan,MAN
273,WPX7352,Cheras Selatan,VOLVO SD B7RLE
274,WPX7357,Cheras Selatan,VOLVO SD B7RLE
275,WPX8107,Cheras Selatan,VOLVO SD B7RLE
276,WPX8153,Cheras Selatan,VOLVO SD B7RLE
277,WB5736U,Maluri,ALEXANDER DENNIS E500
278,WVW4792,Maluri,HINO SKS
279,W8975S,Maluri,SCANIA K250 B
280,VH4215,MRT Serdang,VOLVO MRT
281,WUW4148,Shah Alam,SCANIA K270
282,PLU4055,Sungai Nibong,SCANIA K250 A
283,PLW2781,Sungai Nibong,SCANIA K250 A
284,WB2734T,Batu Caves,SCANIA K250 A
285,W7400S,Batu Caves,SCANIA K250 B
286,WVH9625,Batu Caves,SCANIA K270
287,WPX8215,Cheras Selatan,VOLVO SD B7RLE
288,WPX8765,Cheras Selatan,VOLVO SD B7RLE
289,WPX8850,Cheras Selatan,VOLVO SD B7RLE
290,WPX8955,Cheras Selatan,VOLVO SD B7RLE
291,VK6243,MRT Kajang,SCANIA K250 MRT
292,WB503G,Sungai Nibong,ALEXANDER DENNIS E500
293,CDH2348,Sungai Nibong,SCANIA K250
294,PKY1305,Sungai Nibong,SCANIA K250
295,PLL7535,Weld Quay,SCANIA K250
296,WB7436K,Batu Caves,SCANIA K250 A
297,WUW1359,Batu Caves,SCANIA K270
298,PJH4764,Batu Caves,SCANIA K270 12
299,WC7313H,Cheras Selatan,ALEXANDER DENNIS E200
300,WB3075T,Cheras Selatan,SCANIA K250 A
301,WB3819K,Cheras Selatan,SCANIA K250 A
302,VGK8927,Cheras Selatan,VOLVO DD B8L
303,WPV6605,Cheras Selatan,VOLVO SD B7RLE
304,WPX9766,Cheras Selatan,VOLVO SD B7RLE
305,WPX9774,Cheras Selatan,VOLVO SD B7RLE
306,WPX9781,Cheras Selatan,VOLVO SD B7RLE
307,PLN6791,Mak Mandin,SCANIA K250 B
308,WWB5479,Maluri,HINO SKS
309,VAE7564,MRT Kajang,SCANIA K250 MRT
310,VK6475,MRT Kajang,SCANIA K250 MRT
311,VH4577,MRT Serdang,VOLVO MRT
312,VAH9062,MRT Sungai Buloh,VOLVO MRT
313,VH4604,MRT Sungai Buloh,VOLVO MRT
314,PJL9527,Shah Alam,SCANIA K270 10
315,PKX3470,Sungai Nibong,SCANIA K250
316,PLW5964,Sungai Nibong,SCANIA K250 A
317,PLA2844,Weld Quay,SCANIA K250
318,PLL7240,Weld Quay,SCANIA K250
319,WVA4152,Batu Caves,KING LONG IC 100
320,WVA4412,Batu Caves,KING LONG IC 100
321,WVB7356,Batu Caves,SCANIA K270
322,PJH4872,Batu Caves,SCANIA K270 12
323,WB824L,Cheras Selatan,SCANIA K250 A
324,WA2845G,Cheras Selatan,SCANIA K250 B
325,VGJ8315,Cheras Selatan,VOLVO DD B8L
326,WPX4417,Cheras Selatan,VOLVO SD B7RLE
327,WPY719,Cheras Selatan,VOLVO SD B7RLE
328,WPY743,Cheras Selatan,VOLVO SD B7RLE
329,WPY750,Cheras Selatan,VOLVO SD B7RLE
330,PLN6766,Mak Mandin,SCANIA K250 B
331,PJL9387,Mak Mandin,SCANIA K270 10
332,WPY731,Maluri,VOLVO SD B7RLE
333,VH2549,MRT Serdang,SCANIA K250 MRT
334,VAJ8974,MRT Sungai Buloh,VOLVO MRT
335,VG8650,MRT Sungai Buloh,VOLVO MRT
336,VGF8476,Shah Alam,VOLVO DD B8L
337,WC5708J,Sungai Nibong,ALEXANDER DENNIS E500
338,PLN3513,Sungai Nibong,SCANIA K250 B
339,PJH215,Sungai Nibong,SCANIA K270 10
340,PJJ4731,Weld Quay,SCANIA K270 10
341,PLA2935,Balik Pulau,SCANIA K250
342,VAE7492,MRT Kajang,SCANIA K250 MRT
343,VH3694,MRT Kajang,SCANIA K250 MRT
344,VAH9045,MRT Serdang,VOLVO MRT
345,PKX3221,Sungai Nibong,SCANIA K250
346,W2675T,Batu Caves,SCANIA K250 B
347,WB6753J,Cheras Selatan,SCANIA K250 A
348,PLN6781,Mak Mandin,SCANIA K250 B
349,VH2524,MRT Serdang,SCANIA K250 MRT
350,VAJ6234,MRT Sungai Buloh,VOLVO MRT
351,VH4985,MRT Sungai Buloh,VOLVO MRT
352,WB3634N,Shah Alam,SCANIA K250 A
353,WVF5584,Shah Alam,SCANIA K270
354,PLW2738,Sungai Nibong,SCANIA K250 A
355,WVE3603,Sungai Nibong,SCANIA K270
356,PKY1283,Tanjung Bungah,SCANIA K250
357,WVH9594,Batu Caves,SCANIA K270
358,WVN5548,Cheras Selatan,MAN
359,W2840T,Cheras Selatan,SCANIA K250 B
360,PJH4768,Mak Mandin,SCANIA K270 12
361,WVJ8170,Maluri,MAN
362,WVP2462,Maluri,MAN
363,WC4250F,Putrajaya,ALEXANDER DENNIS E200
364,PLL7285,Sungai Nibong,SCANIA K250
365,WVB3950,Batu Caves,KING LONG IC 100
366,WVE3614,Batu Caves,SCANIA K270
367,WVC3448,Cheras Selatan,MAN
368,WVC6714,Cheras Selatan,MAN
369,WVE5025,Cheras Selatan,MAN
370,WVH7632,Cheras Selatan,MAN
371,WB6708F,Cheras Selatan,SCANIA K250 A
372,PLN3478,Mak Mandin,SCANIA K250 B
373,PLP9014,Mak Mandin,SCANIA K250 B
374,WWC4559,Maluri,HINO SKS
375,WVE4800,Maluri,MAN
376,WPV6981,Maluri,VOLVO SD B7RLE
377,VX3739,MRT Kajang,SCANIA K250 MRT
378,VH4571,MRT Sungai Buloh,VOLVO MRT
379,PLV2783,Sungai Nibong,SCANIA K250 A
380,WUW9704,Sungai Nibong,SCANIA K270
381,PJL9763,Sungai Nibong,SCANIA K270 10
382,WVQ2747,Academy,MAN
383,PJG6922,Balik Pulau,SCANIA K270 10
384,WC3844G,Batu Caves,ALEXANDER DENNIS E200
385,WVE4752,Batu Caves,MAN
386,BNG4014,BRT Sunway,BUILD YOUR DREAM
387,WB7571F,Cheras Selatan,SCANIA K250 A
388,VH3585,MRT Kajang,SCANIA K250 MRT
389,VK2607,MRT Serdang,SCANIA K250 MRT
390,VAE7038,MRT Sungai Buloh,VOLVO MRT
391,WA7097M,Shah Alam,SCANIA K250 A
392,PLW2736,Sungai Nibong,SCANIA K250 A
393,PLQ4360,Sungai Nibong,SCANIA K250 B
394,PLQ4443,Sungai Nibong,SCANIA K250 B
395,PLA2913,Weld Quay,SCANIA K250
396,WVB4108,Batu Caves,KING LONG IC 100
397,WVB5687,Batu Caves,KING LONG IC 100
398,WVE7352,Batu Caves,KING LONG IC 100
399,WPX4342,Cheras Selatan,VOLVO SD B7RLE
400,VAF5489,MRT Kajang,SCANIA K250 MRT
401,CDH5972,MRT Serdang,SCANIA K250
402,WVF1734,MRT Serdang,SCANIA K270
403,WC6916H,Sungai Nibong,ALEXANDER DENNIS E500
404,WUY1449,Batu Caves,KING LONG IC 100
405,WVB5693,Batu Caves,KING LONG IC 100
406,WVD9730,Batu Caves,KING LONG IC 100
407,WVE7649,Batu Caves,KING LONG IC 100
408,WVG2361,Batu Caves,MAN
409,WVL574,Cheras Selatan,MAN
410,WVN7784,Cheras Selatan,MAN
411,WA7230M,Cheras Selatan,SCANIA K250 A
412,WB5780H,Cheras Selatan,SCANIA K250 A
413,WPW5406,Cheras Selatan,VOLVO SD B7RLE
414,VAG8541,MRT Kajang,SCANIA K250 MRT
415,VH2059,MRT Serdang,SCANIA K250 MRT
416,VAF5780,MRT Sungai Buloh,VOLVO MRT
417,VH4920,MRT Sungai Buloh,VOLVO MRT
418,PLP9040,Nibong Tebal,SCANIA K250 B
419,WVH6254,Shah Alam,SCANIA K270
420,PLA2847,Sungai Nibong,SCANIA K250
421,PLT2697,Sungai Nibong,SCANIA K250 A
422,PLW5916,Sungai Nibong,SCANIA K250 A
423,PJL9440,Sungai Nibong,SCANIA K270 10
424,PLA2864,Tanjung Bungah,SCANIA K250
425,PJH197,Weld Quay,SCANIA K270 10
426,PJG6820,Batu Caves,SCANIA K270 10
427,VH4113,MRT Kajang,SCANIA K250 MRT
428,WUT8487,Shah Alam,SCANIA K270
429,WVD4700,Shah Alam,SCANIA K270
430,VGF4514,Shah Alam,VOLVO DD B8L
431,VGF4516,Shah Alam,VOLVO DD B8L
432,PKX3384,Sungai Nibong,SCANIA K250
433,PLL7251,Sungai Nibong,SCANIA K250
434,PLT2701,Sungai Nibong,SCANIA K250 A
435,PLA2861,Tanjung Bungah,SCANIA K250
436,WUW1276,Batu Caves,KING LONG IC 100
437,VH4328,MRT Sungai Buloh,VOLVO MRT
438,PKX3241,Sungai Nibong,SCANIA K250
439,CDH2346,Shah Alam,SCANIA K250
440,WB3284N,Shah Alam,SCANIA K250 A
441,VGF6505,Shah Alam,VOLVO DD B8L
442,WVH7920,Cheras Selatan,MAN
443,WVP2440,Cheras Selatan,MAN
444,WPX5893,Cheras Selatan,VOLVO SD B7RLE
445,WUU5997,MRT Serdang,SCANIA K270
446,PJL9121,Sungai Nibong,SCANIA K270 10
447,PLA9904,Tanjung Bungah,SCANIA K250
448,WVL581,Batu Caves,MAN
449,WB6419M,Batu Caves,SCANIA K250 A
450,WVH9685,Batu Caves,SCANIA K270
451,PLN4485,Mak Mandin,SCANIA K250 B
452,PJJ6067,Mak Mandin,SCANIA K270 10
453,VAE7147,MRT Kajang,SCANIA K250 MRT
454,PLA2966,MRT Serdang,SCANIA K250
455,VK2961,MRT Serdang,SCANIA K250 MRT
456,VAE7042,MRT Sungai Buloh,VOLVO MRT
457,VH4086,MRT Sungai Buloh,VOLVO MRT
458,WUW4149,Shah Alam,SCANIA K270
459,WB3644K,Cheras Selatan,SCANIA K250 A
460,WB6436M,Cheras Selatan,SCANIA K250 A
461,WPW5397,Cheras Selatan,VOLVO SD B7RLE
462,WPX2504,Cheras Selatan,VOLVO SD B7RLE
463,WPX5878,Cheras Selatan,VOLVO SD B7RLE
464,PLU4059,Mak Mandin,SCANIA K250 A
465,VH4084,MRT Kajang,SCANIA K250 MRT
466,CDH7749,MRT Serdang,SCANIA K250
467,VH2057,MRT Serdang,SCANIA K250 MRT
468,VH2559,MRT Serdang,SCANIA K250 MRT
469,VAJ6442,MRT Sungai Buloh,VOLVO MRT
470,VAK985,MRT Sungai Buloh,VOLVO MRT
471,WB4416E,Shah Alam,SCANIA K250 A
472,PLT4560,Sungai Nibong,SCANIA K250 A
473,PJF8350,Sungai Nibong,SCANIA K270 10
474,WVC4307,Batu Caves,KING LONG IC 100
475,WQA1064,Batu Caves,MERCEDES SKS 150
476,WB915L,Cheras Selatan,SCANIA K250 A
477,VGJ1954,Cheras Selatan,VOLVO DD B8L
478,VGK8917,Cheras Selatan,VOLVO DD B8L
479,WVC2574,Maluri,MAN
480,VFG2095,Maluri,VOLVO DD B8L
481,VAG6349,MRT Kajang,SCANIA K250 MRT
482,VX3097,MRT Kajang,SCANIA K250 MRT
483,VH1568,MRT Sungai Buloh,VOLVO MRT
484,WA2849M,Shah Alam,SCANIA K250 A
485,WA3697N,Shah Alam,SCANIA K250 A
486,WB5605H,Shah Alam,SCANIA K250 A
487,WUY4963,Shah Alam,SCANIA K270
488,WVD2380,Shah Alam,SCANIA K270
489,VFJ4927,Shah Alam,VOLVO DD B8L
490,WVA4269,Batu Caves,KING LONG IC 100
491,WVN5509,Batu Caves,MAN
492,WVJ2403,Batu Caves,SCANIA K270
493,BNG4109,BRT Sunway,BUILD YOUR DREAM
494,WB8743F,Cheras Selatan,SCANIA K250 A
495,PLQ2260,Mak Mandin,SCANIA K250 B
496,WVA2976,Maluri,SCANIA K270
497,VG8673,MRT Sungai Buloh,VOLVO MRT
498,WA3714M,Shah Alam,SCANIA K250 A
499,W3372R,Shah Alam,SCANIA K250 B
500,PKX3495,Sungai Nibong,SCANIA K250
501,WVD4971,Batu Caves,KING LONG IC 100
502,PJG6845,Mak Mandin,SCANIA K270 10
503,WA2947M,Shah Alam,SCANIA K250 A
504,WB3671K,Shah Alam,SCANIA K250 A
505,VFJ8463,Maluri,VOLVO DD B8L
506,VG6493,MRT Sungai Buloh,VOLVO MRT
507,WVF5486,Shah Alam,SCANIA K270
508,PJM103,Shah Alam,SCANIA K270 10
509,PLG2568,Sungai Nibong,SCANIA K250
510,WVB7217,MRT Serdang,SCANIA K270
511,WB1029K,Putrajaya,ALEXANDER DENNIS E200
512,WB3466P,Putrajaya,ALEXANDER DENNIS E200
513,WVC6416,Batu Caves,KING LONG IC 100
514,WPV6641,Cheras Selatan,VOLVO SD B7RLE
515,WPV6674,Cheras Selatan,VOLVO SD B7RLE
516,WVE4823,Maluri,MAN
517,VAF5451,MRT Kajang,SCANIA K250 MRT
518,VH2049,MRT Serdang,SCANIA K250 MRT
519,WVF1329,MRT Serdang,SCANIA K270
520,PKY1292,Shah Alam,SCANIA K250
521,W2758T,Shah Alam,SCANIA K250 B
522,W7169Q,Shah Alam,SCANIA K250 B
523,VGJ1970,Shah Alam,VOLVO DD B8L
524,PJJ4942,Sungai Nibong,SCANIA K270 10
525,PKX3511,Tanjung Bungah,SCANIA K250
526,PLV2780,Balik Pulau,SCANIA K250 A
527,WUW8429,Batu Caves,KING LONG IC 100
528,WUX5671,Batu Caves,KING LONG IC 100
529,WUY9579,Batu Caves,KING LONG IC 100
530,WVA4243,Batu Caves,KING LONG IC 100
531,WVC4038,Batu Caves,KING LONG IC 100
532,WB5022K,Cheras Selatan,ALEXANDER DENNIS E200
533,VGJ8965,Maluri,VOLVO DD B8L
534,VAE7104,MRT Kajang,SCANIA K250 MRT
535,VAG8051,MRT Kajang,SCANIA K250 MRT
536,VAJ1514,MRT Kajang,SCANIA K250 MRT
537,CDH7532,MRT Serdang,SCANIA K250
538,VH2476,MRT Serdang,SCANIA K250 MRT
539,VAK962,MRT Sungai Buloh,VOLVO MRT
540,VH4206,MRT Sungai Buloh,VOLVO MRT
541,VH4642,MRT Sungai Buloh,VOLVO MRT
542,WA9478M,Shah Alam,SCANIA K250 A
543,W4677V,Shah Alam,SCANIA K250 B
544,WUY4091,Shah Alam,SCANIA K270
545,WVA3021,Shah Alam,SCANIA K270
546,WUW2519,Batu Caves,KING LONG IC 100
547,WVA4156,Batu Caves,KING LONG IC 100
548,WVD4836,Batu Caves,KING LONG IC 100
549,WVL659,Batu Caves,MAN
550,WB6530S,Batu Caves,SCANIA K250 A
